"ID","Registry name","Spawns"
66,"darkerdepths:sandy_catacombs","{ minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { mowziesmobs:grottol [weight: 2, min: 1, max: 1] }; { mowziesmobs:grottol [weight: 2, min: 1, max: 1] }; { minecraft:bat [weight: 10, min: 8, max: 8] }"
67,"darkerdepths:crystal_cave","{ minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { mowziesmobs:grottol [weight: 2, min: 1, max: 1] }; { mowziesmobs:grottol [weight: 2, min: 1, max: 1] }; { minecraft:bat [weight: 10, min: 8, max: 8] }"
68,"darkerdepths:glowshroom_caves","{ darkerdepths:glowshroom_monster [weight: 50, min: 1, max: 2] }; { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { mowziesmobs:grottol [weight: 2, min: 1, max: 1] }; { mowziesmobs:grottol [weight: 2, min: 1, max: 1] }; { minecraft:bat [weight: 10, min: 8, max: 8] }"
69,"atmospheric:rainforest","{ alexsmobs:centipede_head [weight: 8, min: 1, max: 1] }; { alexsmobs:centipede_head [weight: 8, min: 1, max: 1] }; { iceandfire:troll [weight: 40, min: 1, max: 3] }; { majruszs_difficulty:elite_skeleton [weight: 20, min: 1, max: 1] }; { majruszs_difficulty:giant [weight: 3, min: 1, max: 1] }; { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:illusioner [weight: 20, min: 1, max: 2] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { mowziesmobs:foliaath [weight: 70, min: 1, max: 4] }; { mowziesmobs:foliaath [weight: 70, min: 1, max: 4] }; { mowziesmobs:grottol [weight: 2, min: 1, max: 1] }; { mowziesmobs:grottol [weight: 2, min: 1, max: 1] }; { neapolitan:plantain_spider [weight: 120, min: 3, max: 5] }; { neapolitan:plantain_spider [weight: 120, min: 3, max: 5] }; { alexsmobs:capuchin_monkey [weight: 55, min: 9, max: 16] }; { alexsmobs:capuchin_monkey [weight: 55, min: 9, max: 16] }; { alexsmobs:crow [weight: 10, min: 3, max: 5] }; { alexsmobs:crow [weight: 10, min: 3, max: 5] }; { alexsmobs:gorilla [weight: 50, min: 7, max: 7] }; { alexsmobs:gorilla [weight: 50, min: 7, max: 7] }; { alexsmobs:grizzly_bear [weight: 8, min: 2, max: 3] }; { alexsmobs:grizzly_bear [weight: 8, min: 2, max: 3] }; { alexsmobs:hummingbird [weight: 39, min: 7, max: 7] }; { alexsmobs:hummingbird [weight: 39, min: 7, max: 7] }; { alexsmobs:raccoon [weight: 10, min: 2, max: 4] }; { alexsmobs:raccoon [weight: 10, min: 2, max: 4] }; { alexsmobs:tasmanian_devil [weight: 10, min: 1, max: 2] }; { alexsmobs:tasmanian_devil [weight: 10, min: 1, max: 2] }; { aquaculture:arrau_turtle [weight: 8, min: 1, max: 2] }; { environmental:deer [weight: 16, min: 1, max: 4] }; { minecraft:chicken [weight: 10, min: 4, max: 4] }; { minecraft:cow [weight: 8, min: 4, max: 4] }; { minecraft:parrot [weight: 40, min: 1, max: 2] }; { minecraft:pig [weight: 10, min: 4, max: 4] }; { minecraft:sheep [weight: 12, min: 4, max: 4] }; { minecraft:wolf [weight: 8, min: 4, max: 4] }; { alexsmobs:cockroach [weight: 4, min: 5, max: 5] }; { alexsmobs:cockroach [weight: 4, min: 5, max: 5] }; { alexsmobs:fly [weight: 3, min: 2, max: 3] }; { alexsmobs:fly [weight: 3, min: 2, max: 3] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { aquaculture:arapaima [weight: 1, min: 1, max: 1] }; { aquaculture:piranha [weight: 20, min: 1, max: 6] }; { aquaculture:tambaqui [weight: 6, min: 1, max: 2] }"
70,"atmospheric:rainforest_mountains","{ alexsmobs:centipede_head [weight: 8, min: 1, max: 1] }; { alexsmobs:centipede_head [weight: 8, min: 1, max: 1] }; { iceandfire:troll [weight: 40, min: 1, max: 3] }; { majruszs_difficulty:elite_skeleton [weight: 20, min: 1, max: 1] }; { majruszs_difficulty:giant [weight: 3, min: 1, max: 1] }; { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:illusioner [weight: 20, min: 1, max: 2] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { mowziesmobs:foliaath [weight: 70, min: 1, max: 4] }; { mowziesmobs:foliaath [weight: 70, min: 1, max: 4] }; { mowziesmobs:grottol [weight: 2, min: 1, max: 1] }; { mowziesmobs:grottol [weight: 2, min: 1, max: 1] }; { neapolitan:plantain_spider [weight: 120, min: 3, max: 5] }; { neapolitan:plantain_spider [weight: 120, min: 3, max: 5] }; { alexsmobs:bald_eagle [weight: 15, min: 2, max: 4] }; { alexsmobs:bald_eagle [weight: 15, min: 2, max: 4] }; { alexsmobs:capuchin_monkey [weight: 55, min: 9, max: 16] }; { alexsmobs:capuchin_monkey [weight: 55, min: 9, max: 16] }; { alexsmobs:crow [weight: 10, min: 3, max: 5] }; { alexsmobs:crow [weight: 10, min: 3, max: 5] }; { alexsmobs:gorilla [weight: 50, min: 7, max: 7] }; { alexsmobs:gorilla [weight: 50, min: 7, max: 7] }; { alexsmobs:grizzly_bear [weight: 8, min: 2, max: 3] }; { alexsmobs:grizzly_bear [weight: 8, min: 2, max: 3] }; { alexsmobs:hummingbird [weight: 39, min: 7, max: 7] }; { alexsmobs:hummingbird [weight: 39, min: 7, max: 7] }; { alexsmobs:raccoon [weight: 10, min: 2, max: 4] }; { alexsmobs:raccoon [weight: 10, min: 2, max: 4] }; { alexsmobs:sunbird [weight: 2, min: 1, max: 1] }; { alexsmobs:sunbird [weight: 2, min: 1, max: 1] }; { alexsmobs:tasmanian_devil [weight: 10, min: 1, max: 2] }; { alexsmobs:tasmanian_devil [weight: 10, min: 1, max: 2] }; { aquaculture:arrau_turtle [weight: 8, min: 1, max: 2] }; { environmental:deer [weight: 16, min: 1, max: 4] }; { iceandfire:hippogryph [weight: 2, min: 1, max: 1] }; { minecraft:chicken [weight: 10, min: 4, max: 4] }; { minecraft:cow [weight: 8, min: 4, max: 4] }; { minecraft:parrot [weight: 40, min: 1, max: 2] }; { minecraft:pig [weight: 10, min: 4, max: 4] }; { minecraft:sheep [weight: 12, min: 4, max: 4] }; { minecraft:wolf [weight: 8, min: 4, max: 4] }; { alexsmobs:cockroach [weight: 4, min: 5, max: 5] }; { alexsmobs:cockroach [weight: 4, min: 5, max: 5] }; { alexsmobs:fly [weight: 3, min: 2, max: 3] }; { alexsmobs:fly [weight: 3, min: 2, max: 3] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { aquaculture:arapaima [weight: 1, min: 1, max: 1] }; { aquaculture:piranha [weight: 20, min: 1, max: 6] }; { aquaculture:tambaqui [weight: 6, min: 1, max: 2] }"
71,"atmospheric:rainforest_plateau","{ alexsmobs:centipede_head [weight: 8, min: 1, max: 1] }; { alexsmobs:centipede_head [weight: 8, min: 1, max: 1] }; { iceandfire:troll [weight: 40, min: 1, max: 3] }; { majruszs_difficulty:elite_skeleton [weight: 20, min: 1, max: 1] }; { majruszs_difficulty:giant [weight: 3, min: 1, max: 1] }; { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:illusioner [weight: 20, min: 1, max: 2] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { mowziesmobs:foliaath [weight: 70, min: 1, max: 4] }; { mowziesmobs:foliaath [weight: 70, min: 1, max: 4] }; { mowziesmobs:grottol [weight: 2, min: 1, max: 1] }; { mowziesmobs:grottol [weight: 2, min: 1, max: 1] }; { neapolitan:plantain_spider [weight: 120, min: 3, max: 5] }; { neapolitan:plantain_spider [weight: 120, min: 3, max: 5] }; { alexsmobs:capuchin_monkey [weight: 55, min: 9, max: 16] }; { alexsmobs:capuchin_monkey [weight: 55, min: 9, max: 16] }; { alexsmobs:crow [weight: 10, min: 3, max: 5] }; { alexsmobs:crow [weight: 10, min: 3, max: 5] }; { alexsmobs:gorilla [weight: 50, min: 7, max: 7] }; { alexsmobs:gorilla [weight: 50, min: 7, max: 7] }; { alexsmobs:grizzly_bear [weight: 8, min: 2, max: 3] }; { alexsmobs:grizzly_bear [weight: 8, min: 2, max: 3] }; { alexsmobs:hummingbird [weight: 39, min: 7, max: 7] }; { alexsmobs:hummingbird [weight: 39, min: 7, max: 7] }; { alexsmobs:raccoon [weight: 10, min: 2, max: 4] }; { alexsmobs:raccoon [weight: 10, min: 2, max: 4] }; { alexsmobs:tasmanian_devil [weight: 10, min: 1, max: 2] }; { alexsmobs:tasmanian_devil [weight: 10, min: 1, max: 2] }; { aquaculture:arrau_turtle [weight: 8, min: 1, max: 2] }; { environmental:deer [weight: 16, min: 1, max: 4] }; { minecraft:chicken [weight: 10, min: 4, max: 4] }; { minecraft:cow [weight: 8, min: 4, max: 4] }; { minecraft:parrot [weight: 40, min: 1, max: 2] }; { minecraft:pig [weight: 10, min: 4, max: 4] }; { minecraft:sheep [weight: 12, min: 4, max: 4] }; { minecraft:wolf [weight: 8, min: 4, max: 4] }; { alexsmobs:cockroach [weight: 4, min: 5, max: 5] }; { alexsmobs:cockroach [weight: 4, min: 5, max: 5] }; { alexsmobs:fly [weight: 3, min: 2, max: 3] }; { alexsmobs:fly [weight: 3, min: 2, max: 3] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { aquaculture:arapaima [weight: 1, min: 1, max: 1] }; { aquaculture:piranha [weight: 20, min: 1, max: 6] }; { aquaculture:tambaqui [weight: 6, min: 1, max: 2] }"
72,"atmospheric:sparse_rainforest_plateau","{ alexsmobs:centipede_head [weight: 8, min: 1, max: 1] }; { alexsmobs:centipede_head [weight: 8, min: 1, max: 1] }; { iceandfire:troll [weight: 40, min: 1, max: 3] }; { majruszs_difficulty:elite_skeleton [weight: 20, min: 1, max: 1] }; { majruszs_difficulty:giant [weight: 3, min: 1, max: 1] }; { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:illusioner [weight: 20, min: 1, max: 2] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { mowziesmobs:foliaath [weight: 70, min: 1, max: 4] }; { mowziesmobs:foliaath [weight: 70, min: 1, max: 4] }; { mowziesmobs:grottol [weight: 2, min: 1, max: 1] }; { mowziesmobs:grottol [weight: 2, min: 1, max: 1] }; { neapolitan:plantain_spider [weight: 120, min: 3, max: 5] }; { neapolitan:plantain_spider [weight: 120, min: 3, max: 5] }; { alexsmobs:capuchin_monkey [weight: 55, min: 9, max: 16] }; { alexsmobs:capuchin_monkey [weight: 55, min: 9, max: 16] }; { alexsmobs:gorilla [weight: 50, min: 7, max: 7] }; { alexsmobs:gorilla [weight: 50, min: 7, max: 7] }; { alexsmobs:grizzly_bear [weight: 8, min: 2, max: 3] }; { alexsmobs:grizzly_bear [weight: 8, min: 2, max: 3] }; { alexsmobs:hummingbird [weight: 39, min: 7, max: 7] }; { alexsmobs:hummingbird [weight: 39, min: 7, max: 7] }; { aquaculture:arrau_turtle [weight: 8, min: 1, max: 2] }; { environmental:deer [weight: 16, min: 1, max: 4] }; { minecraft:chicken [weight: 10, min: 4, max: 4] }; { minecraft:cow [weight: 8, min: 4, max: 4] }; { minecraft:parrot [weight: 40, min: 1, max: 2] }; { minecraft:pig [weight: 10, min: 4, max: 4] }; { minecraft:sheep [weight: 12, min: 4, max: 4] }; { minecraft:wolf [weight: 8, min: 4, max: 4] }; { alexsmobs:cockroach [weight: 4, min: 5, max: 5] }; { alexsmobs:cockroach [weight: 4, min: 5, max: 5] }; { alexsmobs:fly [weight: 3, min: 2, max: 3] }; { alexsmobs:fly [weight: 3, min: 2, max: 3] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { aquaculture:arapaima [weight: 1, min: 1, max: 1] }; { aquaculture:piranha [weight: 20, min: 1, max: 6] }; { aquaculture:tambaqui [weight: 6, min: 1, max: 2] }"
73,"atmospheric:rainforest_basin","{ alexsmobs:centipede_head [weight: 8, min: 1, max: 1] }; { alexsmobs:centipede_head [weight: 8, min: 1, max: 1] }; { iceandfire:troll [weight: 40, min: 1, max: 3] }; { majruszs_difficulty:elite_skeleton [weight: 20, min: 1, max: 1] }; { majruszs_difficulty:giant [weight: 3, min: 1, max: 1] }; { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:illusioner [weight: 20, min: 1, max: 2] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { mowziesmobs:foliaath [weight: 70, min: 1, max: 4] }; { mowziesmobs:foliaath [weight: 70, min: 1, max: 4] }; { mowziesmobs:grottol [weight: 2, min: 1, max: 1] }; { mowziesmobs:grottol [weight: 2, min: 1, max: 1] }; { neapolitan:plantain_spider [weight: 120, min: 3, max: 5] }; { neapolitan:plantain_spider [weight: 120, min: 3, max: 5] }; { alexsmobs:capuchin_monkey [weight: 55, min: 9, max: 16] }; { alexsmobs:capuchin_monkey [weight: 55, min: 9, max: 16] }; { alexsmobs:crow [weight: 10, min: 3, max: 5] }; { alexsmobs:crow [weight: 10, min: 3, max: 5] }; { alexsmobs:gorilla [weight: 50, min: 7, max: 7] }; { alexsmobs:gorilla [weight: 50, min: 7, max: 7] }; { alexsmobs:grizzly_bear [weight: 8, min: 2, max: 3] }; { alexsmobs:grizzly_bear [weight: 8, min: 2, max: 3] }; { alexsmobs:hummingbird [weight: 39, min: 7, max: 7] }; { alexsmobs:hummingbird [weight: 39, min: 7, max: 7] }; { alexsmobs:raccoon [weight: 10, min: 2, max: 4] }; { alexsmobs:raccoon [weight: 10, min: 2, max: 4] }; { alexsmobs:tasmanian_devil [weight: 10, min: 1, max: 2] }; { alexsmobs:tasmanian_devil [weight: 10, min: 1, max: 2] }; { aquaculture:arrau_turtle [weight: 8, min: 1, max: 2] }; { environmental:deer [weight: 16, min: 1, max: 4] }; { minecraft:chicken [weight: 10, min: 4, max: 4] }; { minecraft:cow [weight: 8, min: 4, max: 4] }; { minecraft:parrot [weight: 40, min: 1, max: 2] }; { minecraft:pig [weight: 10, min: 4, max: 4] }; { minecraft:sheep [weight: 12, min: 4, max: 4] }; { minecraft:wolf [weight: 8, min: 4, max: 4] }; { alexsmobs:cockroach [weight: 4, min: 5, max: 5] }; { alexsmobs:cockroach [weight: 4, min: 5, max: 5] }; { alexsmobs:fly [weight: 3, min: 2, max: 3] }; { alexsmobs:fly [weight: 3, min: 2, max: 3] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { aquaculture:arapaima [weight: 1, min: 1, max: 1] }; { aquaculture:piranha [weight: 20, min: 1, max: 6] }; { aquaculture:tambaqui [weight: 6, min: 1, max: 2] }"
74,"atmospheric:sparse_rainforest_basin","{ alexsmobs:centipede_head [weight: 8, min: 1, max: 1] }; { alexsmobs:centipede_head [weight: 8, min: 1, max: 1] }; { iceandfire:troll [weight: 40, min: 1, max: 3] }; { majruszs_difficulty:elite_skeleton [weight: 20, min: 1, max: 1] }; { majruszs_difficulty:giant [weight: 3, min: 1, max: 1] }; { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:illusioner [weight: 20, min: 1, max: 2] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { mowziesmobs:foliaath [weight: 70, min: 1, max: 4] }; { mowziesmobs:foliaath [weight: 70, min: 1, max: 4] }; { mowziesmobs:grottol [weight: 2, min: 1, max: 1] }; { mowziesmobs:grottol [weight: 2, min: 1, max: 1] }; { neapolitan:plantain_spider [weight: 120, min: 3, max: 5] }; { neapolitan:plantain_spider [weight: 120, min: 3, max: 5] }; { alexsmobs:capuchin_monkey [weight: 55, min: 9, max: 16] }; { alexsmobs:capuchin_monkey [weight: 55, min: 9, max: 16] }; { alexsmobs:crow [weight: 10, min: 3, max: 5] }; { alexsmobs:crow [weight: 10, min: 3, max: 5] }; { alexsmobs:gorilla [weight: 50, min: 7, max: 7] }; { alexsmobs:gorilla [weight: 50, min: 7, max: 7] }; { alexsmobs:grizzly_bear [weight: 8, min: 2, max: 3] }; { alexsmobs:grizzly_bear [weight: 8, min: 2, max: 3] }; { alexsmobs:hummingbird [weight: 39, min: 7, max: 7] }; { alexsmobs:hummingbird [weight: 39, min: 7, max: 7] }; { alexsmobs:raccoon [weight: 10, min: 2, max: 4] }; { alexsmobs:raccoon [weight: 10, min: 2, max: 4] }; { alexsmobs:tasmanian_devil [weight: 10, min: 1, max: 2] }; { alexsmobs:tasmanian_devil [weight: 10, min: 1, max: 2] }; { aquaculture:arrau_turtle [weight: 8, min: 1, max: 2] }; { environmental:deer [weight: 16, min: 1, max: 4] }; { minecraft:chicken [weight: 10, min: 4, max: 4] }; { minecraft:cow [weight: 8, min: 4, max: 4] }; { minecraft:parrot [weight: 40, min: 1, max: 2] }; { minecraft:pig [weight: 10, min: 4, max: 4] }; { minecraft:sheep [weight: 12, min: 4, max: 4] }; { minecraft:wolf [weight: 8, min: 4, max: 4] }; { alexsmobs:cockroach [weight: 4, min: 5, max: 5] }; { alexsmobs:cockroach [weight: 4, min: 5, max: 5] }; { alexsmobs:fly [weight: 3, min: 2, max: 3] }; { alexsmobs:fly [weight: 3, min: 2, max: 3] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { aquaculture:arapaima [weight: 1, min: 1, max: 1] }; { aquaculture:piranha [weight: 20, min: 1, max: 6] }; { aquaculture:tambaqui [weight: 6, min: 1, max: 2] }"
75,"atmospheric:dunes","{ alexsmobs:centipede_head [weight: 8, min: 1, max: 1] }; { alexsmobs:centipede_head [weight: 8, min: 1, max: 1] }; { alexsmobs:guster [weight: 35, min: 1, max: 2] }; { alexsmobs:guster [weight: 35, min: 1, max: 2] }; { majruszs_difficulty:elite_skeleton [weight: 20, min: 1, max: 1] }; { majruszs_difficulty:giant [weight: 3, min: 1, max: 1] }; { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:husk [weight: 80, min: 4, max: 4] }; { minecraft:illusioner [weight: 20, min: 1, max: 2] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 19, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 1, min: 1, max: 1] }; { mowziesmobs:grottol [weight: 2, min: 1, max: 1] }; { mowziesmobs:grottol [weight: 2, min: 1, max: 1] }; { alexsmobs:rattlesnake [weight: 12, min: 1, max: 2] }; { alexsmobs:rattlesnake [weight: 12, min: 1, max: 2] }; { alexsmobs:roadrunner [weight: 9, min: 2, max: 2] }; { alexsmobs:roadrunner [weight: 9, min: 2, max: 2] }; { alexsmobs:tarantula_hawk [weight: 6, min: 1, max: 1] }; { alexsmobs:tarantula_hawk [weight: 6, min: 1, max: 1] }; { minecraft:rabbit [weight: 4, min: 2, max: 3] }; { alexsmobs:cockroach [weight: 4, min: 5, max: 5] }; { alexsmobs:cockroach [weight: 4, min: 5, max: 5] }; { alexsmobs:fly [weight: 3, min: 2, max: 3] }; { alexsmobs:fly [weight: 3, min: 2, max: 3] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { aquaculture:bayad [weight: 6, min: 1, max: 2] }; { aquaculture:boulti [weight: 10, min: 1, max: 3] }; { aquaculture:capitaine [weight: 1, min: 1, max: 1] }; { aquaculture:synodontis [weight: 20, min: 1, max: 6] }"
76,"atmospheric:dunes_hills","{ alexsmobs:centipede_head [weight: 8, min: 1, max: 1] }; { alexsmobs:centipede_head [weight: 8, min: 1, max: 1] }; { alexsmobs:guster [weight: 35, min: 1, max: 2] }; { alexsmobs:guster [weight: 35, min: 1, max: 2] }; { majruszs_difficulty:elite_skeleton [weight: 20, min: 1, max: 1] }; { majruszs_difficulty:giant [weight: 3, min: 1, max: 1] }; { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:husk [weight: 80, min: 4, max: 4] }; { minecraft:illusioner [weight: 20, min: 1, max: 2] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 19, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 1, min: 1, max: 1] }; { mowziesmobs:grottol [weight: 2, min: 1, max: 1] }; { mowziesmobs:grottol [weight: 2, min: 1, max: 1] }; { alexsmobs:rattlesnake [weight: 12, min: 1, max: 2] }; { alexsmobs:rattlesnake [weight: 12, min: 1, max: 2] }; { alexsmobs:roadrunner [weight: 9, min: 2, max: 2] }; { alexsmobs:roadrunner [weight: 9, min: 2, max: 2] }; { alexsmobs:tarantula_hawk [weight: 6, min: 1, max: 1] }; { alexsmobs:tarantula_hawk [weight: 6, min: 1, max: 1] }; { minecraft:rabbit [weight: 4, min: 2, max: 3] }; { alexsmobs:cockroach [weight: 4, min: 5, max: 5] }; { alexsmobs:cockroach [weight: 4, min: 5, max: 5] }; { alexsmobs:fly [weight: 3, min: 2, max: 3] }; { alexsmobs:fly [weight: 3, min: 2, max: 3] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { aquaculture:bayad [weight: 6, min: 1, max: 2] }; { aquaculture:boulti [weight: 10, min: 1, max: 3] }; { aquaculture:capitaine [weight: 1, min: 1, max: 1] }; { aquaculture:synodontis [weight: 20, min: 1, max: 6] }"
77,"atmospheric:flourishing_dunes","{ alexsmobs:centipede_head [weight: 8, min: 1, max: 1] }; { alexsmobs:centipede_head [weight: 8, min: 1, max: 1] }; { alexsmobs:guster [weight: 35, min: 1, max: 2] }; { alexsmobs:guster [weight: 35, min: 1, max: 2] }; { majruszs_difficulty:elite_skeleton [weight: 20, min: 1, max: 1] }; { majruszs_difficulty:giant [weight: 3, min: 1, max: 1] }; { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:husk [weight: 80, min: 4, max: 4] }; { minecraft:illusioner [weight: 20, min: 1, max: 2] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 19, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 1, min: 1, max: 1] }; { mowziesmobs:grottol [weight: 2, min: 1, max: 1] }; { mowziesmobs:grottol [weight: 2, min: 1, max: 1] }; { alexsmobs:rattlesnake [weight: 12, min: 1, max: 2] }; { alexsmobs:rattlesnake [weight: 12, min: 1, max: 2] }; { alexsmobs:roadrunner [weight: 9, min: 2, max: 2] }; { alexsmobs:roadrunner [weight: 9, min: 2, max: 2] }; { alexsmobs:tarantula_hawk [weight: 6, min: 1, max: 1] }; { alexsmobs:tarantula_hawk [weight: 6, min: 1, max: 1] }; { minecraft:rabbit [weight: 4, min: 2, max: 3] }; { alexsmobs:cockroach [weight: 4, min: 5, max: 5] }; { alexsmobs:cockroach [weight: 4, min: 5, max: 5] }; { alexsmobs:fly [weight: 3, min: 2, max: 3] }; { alexsmobs:fly [weight: 3, min: 2, max: 3] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { aquaculture:bayad [weight: 6, min: 1, max: 2] }; { aquaculture:boulti [weight: 10, min: 1, max: 3] }; { aquaculture:capitaine [weight: 1, min: 1, max: 1] }; { aquaculture:synodontis [weight: 20, min: 1, max: 6] }"
